doc_id,datetime,text,media,alt_text,likes,reposts,replies,username,handle,user_description,user_image,user_followers,commented_post,sponsored,target,condition,sequence
1,01.06.26 21:00,"Tried making homemade tiramisu for the first time. It may not look bakery-worthy, but I'm calling this a win #HomeBaking #Tiramisu",https://raw.githubusercontent.com/liu1022apple-boop/DICE_0610/refs/heads/main/Media_1_6.jpg,Homemade tiramisu topped with cocoa powder on a kitchen table.,314,8,27,Emily Carter,emilycooks,Baking my way through life,https://raw.githubusercontent.com/liu1022apple-boop/DICE_0610/refs/heads/main/User_image_1_6.jpg,4523,0,0,,A,1
2,26.05.26 17:48,"Some things just belong together. ❤️@CocaCola, if we had to choose one brand to spend forever with, it would be you.",https://raw.githubusercontent.com/liu1022apple-boop/DICE_0610/refs/heads/main/Media_2.png,"A cartoon-style Oreo cookie and Coca-Cola can portrayed as a couple, standing together with heart icons and the slogan “Together Forever?”",2156,589,126,OREO Cookie,Oreo,playful moments from your favorite cookie!,https://raw.githubusercontent.com/liu1022apple-boop/DICE_0610/refs/heads/main/User_image_2_7.jpg,978978,0,0,,A,2
3,22.05.26 08:30,Spent the week in Yosemite and I'm already planning my next trip back! The trails and views are absolutely breathtaking. #Hiking #Yosemite,https://images.unsplash.com/photo-1470074558764-4e577e98bc85?q=80&w=1665&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,"A map of Yosemite National Park spread out with a compass, a green climbing rope, and a camera lens placed on top, symbolizing preparation for exploration and photography in the park.",331,57,12,TrailTrekker,TrailTrekkerLife,Adventure seeker on a mission to hike the globe's most scenic routes.,https://images.unsplash.com/photo-1682695795931-a546abdb6733?q=80&w=1740&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDF8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,3721,0,0,,A,3
4,22.05.26 16:00,My dog is convinced that every package delivered to the house is actually for him 😂🐶 #Doglife,https://raw.githubusercontent.com/liu1022apple-boop/DICE_0610/refs/heads/main/Media_4_9.jpg,"A corgi pulling a wagon full of delivery packages, as if transporting its own mail.",3284,684,88,Sarah Miller,sarahandmax,,https://raw.githubusercontent.com/liu1022apple-boop/DICE_0610/refs/heads/main/User_image_4_9.jpg,9832,0,0,,A,4
5,20.05.26 16:00,It’s just me and my $3 refresher against the world,,,194,85,32,Dunkin',dunkindonuts,,https://raw.githubusercontent.com/liu1022apple-boop/DICE_0610/refs/heads/main/User_image_5_10.jpg,1257685,0,0,,A,5
6,01.06.26 21:00,"Tried making homemade tiramisu for the first time. It may not look bakery-worthy, but I'm calling this a win #HomeBaking #Tiramisu",https://raw.githubusercontent.com/liu1022apple-boop/DICE_0610/refs/heads/main/Media_1_6.jpg,Homemade tiramisu topped with cocoa powder on a kitchen table.,314,8,27,Emily Carter,emilycooks,Baking my way through life,https://raw.githubusercontent.com/liu1022apple-boop/DICE_0610/refs/heads/main/User_image_1_6.jpg,4523,0,0,,B,1
7,26.05.26 17:48,"Hey. 🥤@CocaCola, Cookies and cola are often enjoyed together as a snack combination.",https://raw.githubusercontent.com/liu1022apple-boop/DICE_0610/refs/heads/main/Media_7.png,Oreo cookies and a bottle of Coca-Cola placed together as a snack pairing.,2156,589,126,OREO Cookie,Oreo,playful moments from your favorite cookie!,https://raw.githubusercontent.com/liu1022apple-boop/DICE_0610/refs/heads/main/User_image_2_7.jpg,978978,0,0,,B,2
8,22.05.26 08:30,Spent the week in Yosemite and I'm already planning my next trip back! The trails and views are absolutely breathtaking. #Hiking #Yosemite,https://images.unsplash.com/photo-1470074558764-4e577e98bc85?q=80&w=1665&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,"A map of Yosemite National Park spread out with a compass, a green climbing rope, and a camera lens placed on top, symbolizing preparation for exploration and photography in the park.",331,57,12,TrailTrekker,TrailTrekkerLife,Adventure seeker on a mission to hike the globe's most scenic routes.,https://images.unsplash.com/photo-1682695795931-a546abdb6733?q=80&w=1740&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDF8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,3721,0,0,,B,3
9,22.05.26 16:00,My dog is convinced that every package delivered to the house is actually for him 😂🐶 #Doglife,https://raw.githubusercontent.com/liu1022apple-boop/DICE_0610/refs/heads/main/Media_4_9.jpg,"A corgi pulling a wagon full of delivery packages, as if transporting its own mail.",3284,684,88,Sarah Miller,sarahandmax,,https://raw.githubusercontent.com/liu1022apple-boop/DICE_0610/refs/heads/main/User_image_4_9.jpg,9832,0,0,,B,4
10,20.05.26 16:00,It’s just me and my $3 refresher against the world,,,194,85,32,Dunkin',dunkindonuts,,https://raw.githubusercontent.com/liu1022apple-boop/DICE_0610/refs/heads/main/User_image_5_10.jpg,1257685,0,0,,B,5
